Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Exponential,0.0056134268267228485,0.003077832881520655,0.5504797366447188,0.7146869479431591,0.0019292240753229024,0.004360834293747786,0.5533441019803897,0.3222045457485334,1.2956420386003151,0.39247774949684266
Scaled Exponential,0.005558549530295828,0.003093460861677971,0.5458181035491949,0.7177888435755495,0.0021388025931625824,0.004159818615589075,0.5476135217844227,-0.021036807985088002,1.5423582444746766,0.42694932527521157
Additive (1+h),0.005596419184246794,0.0031375808977764544,0.6130115742673854,0.7152952127839893,0.0021121456157799415,0.004282996906995649,0.5550706534981098,-0.07384914697866996,1.4709236874204341,0.4137341649162898
Softplus,0.005545717835463955,0.003081227912344725,0.5430787646039487,0.7186878646517579,0.0020583844845085313,0.00422374880833648,0.5483181084652948,0.11791782440565224,1.4706030992309223,0.4162999307739971
Tanh,0.005567913110625098,0.003094660830469186,0.5516405998416738,0.7183249398850269,0.002101987128117143,0.004203482001895181,0.5485092996102919,0.03628046439818289,1.500635829802186,0.42123315055238575
Dot Product,0.006811794065519079,0.003986066190156076,0.5379617068238236,1.0524310357351783,0.0033089512994669166,0.004742406692080315,0.2813815835864292,-1.372134102806407,1.7139266279094225,0.22328502918986848
Sigmoid,0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
