Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Normalized,0.003964082884332844,0.002496744116868357,0.6988072422864539,0.6504380739150606,0.0012814145080272804,0.003747993298368982,0.615867382298258,0.505344153044459,0.8809570544459435,0.4137298464147985
Raw counts,0.00402474717177322,0.002513624724342061,0.7303040074051822,0.6645128859258275,0.0012507012758688925,0.003813874401223454,0.6162054069245844,0.5854327870221467,0.9167129335329933,0.4084854979220215
Logarithm,0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
