Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Baseline (2 dims),0.005549963919626363,0.0030755759875220005,0.550772537837803,0.7126496626752775,0.001961989020096375,0.004319457841931904,0.5512423377304839,0.8598964835006133,1.425598483847516,0.40425210763380515
AlphaEarth (64 dims),0.0056196710127517585,0.0031181553805973376,0.538854022540724,0.7046251995905255,0.0020974975127386916,0.004258234995865341,0.5573508250360696,0.8560025232357056,1.431446310123222,0.4096414955947585
GeoClip (512 dims),0.0055651740916734475,0.003106520844796469,0.5645193693824915,0.7063606529082614,0.002041567567078488,0.00429607864018816,0.5578805331653365,0.8719214398511123,1.4312437538026437,0.40998242022885734
Range (1280 dims),0.005573763944597166,0.0031178081018823013,0.553533112172357,0.6914073744665108,0.0021287599049692137,0.0042225795667649385,0.5621177072049727,0.8597042814843775,1.5757217311447445,0.42688908258072245
SatClip (256 dims),0.005562614744161519,0.003087491559226886,0.575861587218695,0.7014273454942036,0.002022459672662334,0.004277137161068101,0.5556175966925609,0.890085793168378,1.3525735159405265,0.42723451918883926
