Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Interpolation (20%),0.005546493178879505,0.00308537690478451,0.5478338351081163,0.7155150130601182,0.002072967224982966,0.004216243255389667,0.5481536997127827,0.0929332479380448,1.468602631140367,0.4222816412753341
"Interpolation (20%, no self latent)",0.005624332849074902,0.0031305069464916463,0.5559093665183904,0.7323201047601311,0.0020657772802643096,0.0043198149668017445,0.5454481985199838,0.12188679466305896,1.53659459815671,0.3991819216537057
"Interpolation (20%, at inference)",0.005585461171333853,0.0031043183814410233,0.6550317016610692,0.7038979194232924,0.0019002838891164287,0.004449230544474423,0.5667320419520088,0.08426790108070703,1.05246342928189,0.3975849857821372
"Interpolation (20%, no MLP interpolation)",0.005562128839559816,0.0030907006874556094,0.5440955880641851,0.7226688054750643,0.002096660899790209,0.004201047782570159,0.5461708724656489,0.061513894983227346,1.4662785236695175,0.42013366002697117
Interpolation (10%),0.005547063767353289,0.0030840380289948355,0.5542013243854088,0.7172515905479424,0.0019711528157423555,0.004327136020708994,0.5530957482852248,0.27952185220925163,1.3709163854538187,0.4024241706228001
Interpolation (50%),0.005656604201083012,0.0031534165959109847,0.5599443090562463,0.7436972031735128,0.0020470786039584192,0.004389201310790918,0.5450252009874299,0.19865096061995213,1.5201378557997467,0.37836496546137754
Interpolation (100%),0.005853594283694386,0.003328050203822235,0.5952213458125302,0.787572643859918,0.0020822758443531275,0.004719585993806449,0.5385255880781231,0.20656837856220778,1.4408097571084095,0.2268275972190401
No Interpolation,0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
