Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
K=5,0.005602647439698429,0.0030926440562286423,0.5565583374688666,0.7164356594061749,0.002024128189609833,0.0042861812800961425,0.549464208053925,0.1562034377937842,1.382842087854076,0.41018735565041076
K=100,0.005550402218021151,0.003082666773844616,0.5478612946789444,0.7208081534510647,0.0020714728356217784,0.00421217513541646,0.5478033098624582,0.0935493548699885,1.4351027654310886,0.4165608548286276
K=500,0.005571141446696926,0.0030998100675148615,0.5544672595388399,0.7186507241607207,0.002115065080235642,0.004199774827096642,0.5487634191405346,0.017893057535717682,1.525339062892711,0.4224077838826684
K=25 (default),0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
