Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Present BINs only,0.005572390118314225,0.00310088031014391,0.5531510205440392,0.7193395612979258,0.002125420744532066,0.004190473210265721,0.5482783216434773,-0.0031683740652665993,1.5312301645635407,0.4233502609147849
All BINs,0.005565777995002473,0.003082731597784586,0.5494518115583361,0.7142862892421856,0.002037077059787417,0.004250732610586416,0.5492212923375639,0.1485969101331931,1.4117003897856504,0.4123039539918577
MLP + Latent (Baseline),0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
