Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Additive,0.0037382611363748464,0.002266112603031633,0.7098167008438622,0.6865968850356565,0.0012733642699586385,0.003236641761726037,0.599318639549145,0.820572699146584,1.0268050870190284,0.3892172795230675
Dot Product,0.0038815118658856564,0.002332236313800351,0.7204750415826908,0.762228221966681,0.0011970696981447027,0.003441996223504721,0.5875632518336869,0.7836952397244867,0.43573033331159694,0.2311328568862807
Exp,0.0037390789981438665,0.002264586859153474,0.706462177918314,0.6861592076749691,0.001276408245412815,0.0032306485755854942,0.5989923022155343,0.8178595695269706,1.0428946749199681,0.39077053990843735
Scaled Exp,0.0037846044302232693,0.0022965357333066573,0.6822142615393978,0.6921617136185048,0.0013575273962608322,0.003214527676480343,0.5943996286724689,0.795104347146624,1.0796763390638457,0.3688276614373377
Sigmoid,0.003778547134699234,0.0022912302399972165,0.6942969829682254,0.697199683793157,0.0012953520601915241,0.0032648191948304113,0.5935492289075495,0.8047824522300722,0.9748980292107294,0.3657638884726703
Softplus,0.003754627993470061,0.0022967711984220123,0.6527439163890209,0.7119668118487686,0.0014611867729055798,0.003113654010004615,0.5807953222305776,0.7859178981229066,1.3292744104339866,0.39071867139661454
Tanh,0.0037666884121835883,0.002291802021568595,0.6775189509732984,0.6932887048016161,0.0013584721541555584,0.003204242587649234,0.5924528460634019,0.7963396864813962,1.097569204114556,0.3726422661103491
