Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
SatCLIP (256D),0.0056522026112566254,0.0031073687499350655,0.5769775580993742,0.7220025804164928,0.0019475445914482108,0.004402897763159072,0.5545628875160635,0.274457464070081,1.1873908362364318,0.38930075893266347
RANGE (1280D),0.005560182982885359,0.0031091809358730453,0.5927591657595693,0.7109395805624448,0.0020962957306353766,0.004240578450615901,0.5560599268924233,-0.03177053210738334,1.3918145749563129,0.4190420139508453
GeoCLIP (512D),0.005558119708148563,0.003117405452771251,0.602517405271182,0.7122104769305603,0.0021220229957825266,0.004229252315803898,0.555495264607279,-0.0980673084635102,1.4062230656812866,0.41732084029890326
AlphaEarth (64D),0.005658268844791069,0.003105781589465115,0.5781110437979934,0.7218938033229815,0.0019176779556711006,0.004432898908960457,0.555502666465506,0.32464801247629893,1.1633217055090534,0.38478431420640946
Raw GPS (lat/lon),0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
