Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
Latent In+Out (dim=5),0.0057358851655336714,0.0031582692624037173,0.664879926561763,0.7295961152190109,0.0019261904189686377,0.004534507096880343,0.5542975005243836,0.274935321197488,1.1764322054091993,0.37196387068830894
Latent Input Only (dim=10),0.005696798580150113,0.003154790866879283,0.6248885339729555,0.7385597801853847,0.001901792495813394,0.004554395911626828,0.5576266474079459,0.30152885470474333,1.3257065521726925,0.3598048949182777
Latent + MLP (Baseline),0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
