Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Spearman Rho (macro),R² (Shannon diversity),Shannon intercept,R² (log + 1)
MLP (no taxonomy),0.006172959411150035,0.003620234562863673,0.7865030720498486,0.9015655184372193,0.0024076927192401864,0.004974649477113933,0.504674916737266,-0.3957302864734271,1.4339181974192026,0.21916709692526437
MLP (with taxonomy),0.005713490342197284,0.003197224091205693,0.6781357476444455,0.753946147343849,0.002022170430448201,0.004509764529742922,0.5978659934952856,0.23387349700880722,0.7735131442104892,0.12110439438902798
MLP + Latent,0.00557296229411978,0.003096970073158858,0.5418203460559832,0.7233246437554277,0.0021014206060700116,0.00420900348725498,0.5465826527293551,0.04865520507858545,1.4850162686849089,0.415540946203815
